title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich",,"https://images-na.ssl-images-amazon.com/images/I/51+U4oyBDJL._SY344_BO1,204,203,200_.jpg",,,"['Business', 'Money', 'Culture']",,,,https://www.amazon.com/dp/0091929113,,,,9780091929114,4.5
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,,"https://images-na.ssl-images-amazon.com/images/I/51gufUMfXZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Biographies', 'Memoirs', 'Historical']",,,,https://www.amazon.com/dp/0062300547,,,,9780062300546,4.5
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",,"https://images-na.ssl-images-amazon.com/images/I/51kWCi08LOL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Engineering', 'Transportation']",,,,https://www.amazon.com/dp/0062301233,,,,9780062301239,4.7
The Art of Racing in the Rain,,"https://images-na.ssl-images-amazon.com/images/I/41d5u91EnxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0061537934,,,,9780061537936,4.7
The Art of Racing in the Rain: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/41xQVphTvuL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0061537969,,,,9780061537967,4.7
Why We Sleep,,"https://images-na.ssl-images-amazon.com/images/I/41yN1NYjE8L._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Health', 'Fitness', 'Dieting', 'Psychology', 'Counseling']",,,,https://www.amazon.com/dp/0141983760,,,,9780141983769,4.7
12 Rules for Life: An Antidote to Chaos,,"https://images-na.ssl-images-amazon.com/images/I/41EATHVLJRL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Business', 'Money', 'Job Hunting', 'Careers']",,,,https://www.amazon.com/dp/0141988517,,,,0141988517,4.8
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",,"https://images-na.ssl-images-amazon.com/images/I/51kcX5PpaZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062315005,,,,0062315005,4.7
Sapiens: A Brief History of Humankind,,"https://images-na.ssl-images-amazon.com/images/I/41+lolL22gL._SY344_BO1,204,203,200_.jpg",,,"['History', 'World']",,,,https://www.amazon.com/dp/0062316095,,,,9780062316097,4.6
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,,"https://images-na.ssl-images-amazon.com/images/I/51mqAQYYSTL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Biographies', 'Memoirs', 'Professionals', 'Academics']",,,,https://www.amazon.com/dp/0062319787,,,,0062319787,4.7
The Guest List: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/514elGDUfjS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Mystery', 'Thriller', 'Suspense']",,,,https://www.amazon.com/dp/0062868942,,,,0062868942,4.2
Looking for Alaska,,"https://images-na.ssl-images-amazon.com/images/I/41bWeuNX4AL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Romance', 'Contemporary']",,,,https://www.amazon.com/dp/0142402516,,,,0142402516,4.6
The Gruffalo,,"https://images-na.ssl-images-amazon.com/images/I/51inFTeRHCL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0142403873,,,,0142403873,4.9
